# wavelength [micron], EQE [1]
5.821643286573146003e-01,8.798412612329681304e-01
5.865731462925851680e-01,8.772908358570834508e-01
5.909819639278557357e-01,8.746524502691023217e-01
5.953907815631263034e-01,8.716988989246960973e-01
5.997995991983968711e-01,8.686612517843382841e-01
6.042084168336674388e-01,8.651118789745435578e-01
6.086172344689378955e-01,8.613824161481491437e-01
6.130260521042084632e-01,8.572560981775836364e-01
6.174348697394789198e-01,8.527995959490025646e-01
6.218436873747494875e-01,8.478323278453751000e-01
6.262525050100200552e-01,8.422482601501185551e-01
6.306613226452906229e-01,8.364026337199339522e-01
6.350701402805611906e-01,8.304984977540746938e-01
6.394789579158317583e-01,8.242934663895162828e-01
6.438877755511022150e-01,8.183691917728860288e-01
6.482965931863727826e-01,8.122628989116787990e-01
6.527054108216432393e-01,8.057404636721590130e-01
6.571142284569138070e-01,7.989411329892468494e-01
6.615230460921843747e-01,7.918221810446871567e-01
6.659318637274549424e-01,7.842421997242725595e-01
6.703406813627255101e-01,7.767086392435817999e-01
6.747494989979960778e-01,7.694674697760214288e-01
6.791583166332666455e-01,7.622978591475952914e-01
6.835671342685371021e-01,7.557295105319929984e-01
6.879759519038076698e-01,7.493664056888733604e-01
6.923847695390781265e-01,7.429499708593872986e-01
6.967935871743486942e-01,7.365377549951021008e-01
7.012024048096192619e-01,7.300784734174826651e-01
7.056112224448898296e-01,7.232430319809666219e-01
7.100200400801603973e-01,7.168250840205030450e-01
7.144288577154309650e-01,7.108994854022766541e-01
7.188376753507014216e-01,7.055866340243240886e-01
7.232464929859719893e-01,7.008914985715584134e-01
7.276553106212425570e-01,6.967715137436701900e-01
7.320641282565130137e-01,6.929598659129053706e-01
7.364729458917835814e-01,6.888755068945706661e-01
7.408817635270541491e-01,6.835192420759852450e-01
7.452905811623247168e-01,6.752377618730134312e-01
7.496993987975952844e-01,6.616306592289993294e-01
7.541082164328658521e-01,6.391517356218833212e-01
7.585170340681363088e-01,6.042667902090802512e-01
7.629258517034068765e-01,5.543840157456529916e-01
7.673346693386773332e-01,4.906322559707277375e-01
7.717434869739479009e-01,4.196390834888673593e-01
7.761523046092184686e-01,3.511734850149873521e-01
7.805611222444890362e-01,2.927368059127239408e-01
7.849699398797596039e-01,2.475686599782870867e-01
7.893787575150301716e-01,2.153170191566669833e-01
7.937875751503007393e-01,1.939610332984728347e-01
7.981963927855711960e-01,1.806704514776574233e-01
8.026052104208416527e-01,1.722907473980328508e-01
8.070140280561122204e-01,1.647717708164472827e-01
8.114228456913827880e-01,1.576402498475554803e-01
8.158316633266533557e-01,1.508548639348691323e-01
8.202404809619239234e-01,1.443524166742878312e-01
8.246492985971944911e-01,1.381115478720848222e-01
8.290581162324650588e-01,1.321011740234086518e-01
8.334669338677356265e-01,1.263165394150588261e-01
8.378757515030059722e-01,1.207591144017728241e-01
8.422845691382765398e-01,1.154297584653722897e-01
8.466933867735471075e-01,1.103353297621195717e-01
8.511022044088176752e-01,1.054886826608213701e-01
8.555110220440882429e-01,1.009173293590114873e-01
8.599198396793588106e-01,9.661598865511603074e-02
8.643286573146293783e-01,9.260514279458179066e-02
8.687374749498999460e-01,8.887436564661506389e-02
8.731462925851705137e-01,8.543963416178661230e-02
8.775551102204408593e-01,8.228959161209643824e-02
8.819639278557114270e-01,7.942118773883313776e-02
8.863727454909819947e-01,7.682488435172625529e-02
8.907815631262525624e-01,7.448155608690082419e-02
8.951903807615231301e-01,7.238638748590822680e-02
8.995991983967936978e-01,7.052501787801095101e-02
9.040080160320642655e-01,6.889668698925596746e-02
9.084168336673348332e-01,6.746609353381699536e-02
9.128256513026051788e-01,6.621583559798245588e-02
9.172344689378757465e-01,6.513432693045941024e-02
9.216432865731463142e-01,6.420411890274566047e-02
9.260521042084168819e-01,6.341297518881375272e-02
9.304609218436874496e-01,6.275121507626618689e-02
9.348697394789580173e-01,6.220518747310614660e-02
9.392785571142285850e-01,6.175823946412802024e-02
9.436873747494991527e-01,6.141367474751070754e-02
9.480961923847697204e-01,6.115052057604103419e-02
9.525050100200400660e-01,6.095729242070709042e-02
9.569138276553106337e-01,6.082814734808879298e-02
9.613226452905812014e-01,6.076054221380207399e-02
9.657314629258517691e-01,6.074968202933252875e-02
9.701402805611223368e-01,6.078539013340662767e-02
9.745490981963929045e-01,6.086549833767510020e-02
9.789579158316634722e-01,6.097832234353590952e-02
9.833667334669340399e-01,6.112478036748624638e-02
9.877755511022043855e-01,6.129973157520650362e-02
9.921843687374749532e-01,6.149494424948923066e-02
9.965931863727455209e-01,6.171492231883601159e-02
1.001002004008016089e+00,6.196082788922346873e-02
1.005410821643286656e+00,6.224334542542235560e-02
1.009819639278557224e+00,6.252620730690600093e-02
1.014228456913827792e+00,6.281593610581195919e-02
1.018637274549098359e+00,6.311390183901122164e-02
1.023046092184368927e+00,6.342005271341603911e-02
1.027454909819639273e+00,6.372362841768317021e-02
1.031863727454909840e+00,6.403025285633290320e-02
1.036272545090180408e+00,6.433623567795862530e-02
1.040681362725450976e+00,6.464166008863307666e-02
1.045090180360721543e+00,6.494482343018452564e-02
1.049498997995992111e+00,6.524446407461215180e-02
1.053907815631262679e+00,6.554011925303379615e-02
1.058316633266533247e+00,6.583280440888641949e-02
1.062725450901803592e+00,6.612022701726383289e-02
1.067134268537074160e+00,6.640493772835032171e-02
1.071543086172344728e+00,6.668251154927465341e-02
1.075951903807615295e+00,6.695627840592634217e-02
1.080360721442885863e+00,6.722681272703520672e-02
1.084769539078156431e+00,6.749096061599139940e-02
